Provinsi,Tanaman Jagung - Produksi Jagung (ton) (Ton),Tanaman Kedelai - Produksi Kedelai (ton) (Ton)
Aceh,205125,47910
Sumatera Utara,1519407,6549
Sumatera Barat,602549,353
Riau,30870,2145
Jambi,51712,6732
Sumatera Selatan,289007,16818
Bengkulu,52785,5388
Lampung,1502800,9815
Kepulauan Bangka Belitung,666,1
Kepulauan Riau,473,15
DKI Jakarta,...,...
Jawa Barat,959933,98938
Jawa Tengah,3212392,129794
DI Yogyakarta,299084,18822
Jawa Timur,6131163,344998
Banten,11870,7291
Bali,40603,7259
Nusa Tenggara Barat,959973,125036
Nusa Tenggara Timur,685081,3615
Kalimantan Barat,103742,2637
Kalimantan Tengah,8189,1262
Kalimantan Selatan,128505,10536
Kalimantan Timur,8379,1519
Kalimantan Utara,1032,2239
Sulawesi Utara,300490,6685
Sulawesi Tengah,131123,13270
Sulawesi Selatan,1528413,67192
Sulawesi Tenggara,68141,12799
Gorontalo,643512,3203
Sulawesi Barat,100811,4218
Maluku,13947,707
Maluku Utara,11728,475
Papua Barat,2264,1439
Papua,6665,3522
Indonesia,19612435,963183
,,
Catatan,,
<sup>1 </sup>Kualitas produksi jagung pipilan kering/<i>The production form is dry loose maize</i><sup>2 </sup>Kualitas produksi kedelai biji kering/<i>The production form is dry shells soybean</i>,,